Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/0009,SHERATON HONG KONG HOTEL & TOWERS,"20 Nathan Road,Tsim Sha Tsui, Kowloon.",香港喜來登酒店,九龍尖沙咀彌敦道20號,2369 1111,2739 8707,res.hongkong@sheraton.com
H/0013,MING CHU VILLA,"Flat A & B, 1/F,66A Un Chau Street,Sham Shui Po, Kowloon.",明珠賓館,九龍深水元州街66A號1字樓A&B室,2728 6343,,
H/0015,WHOLE SUNSHINE INTERNATIONAL GUEST HOUSE,"4/F & 5/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",四季陽光國際賓館,九龍尖沙咀彌敦道40號重慶大廈A座4&5字樓,5578 1790,,
H/0018,STANFORD HILLVIEW HOTEL,"13-17 Observatory Road,Tsim Sha Tsui,Kowloon.",仕德福山景酒店,九龍尖沙咀天文台道13-17號,2722 7822,2723 3718,hillview@stanfordhotel.com
H/0019,SUMMIT VIEW KOWLOON,"5 Man Fuk Road,Ho Man Tin, Kowloon.",峰景軒,九龍何文田文福道5號,2700 1688,2700 1699,summitview@yhk.com.hk
H/0020,THE HARBOURVIEW,"G/F, M/F, 1/F & 5/F-21/F,4 Harbour Road,Wan Chai, Hong Kong.",灣景國際,香港灣仔港灣道4號地下、閣樓、1字樓 & 5-21字樓,2802 0111,2802 9063,info@theharbourview.com.hk
H/0021,ROYAL PACIFIC HOTEL & TOWERS,"Block 1, Podium, 8/F-22/F &Block 7, 8/F-23/F, 33 Canton Road,China Hong Kong City, Tsim Sha Tsui, Kowloon.",皇家太平洋酒店,九龍尖沙咀廣東道33號中港城第1座平台、8-22字樓& 第7座8-23字樓,2736 1188,2736 1212,info@royalpacific.com.hk
H/0022,LANGHAM HOTEL HONG KONG,"8 Peking Road,Tsim Sha Tsui,Kowloon.",香港朗廷酒店,九龍尖沙咀北京道8號,2375 1133,2375 7909,tlhkg.pr@langhamhotels.com
H/0034,HOLIDAY INN GOLDEN MILE,"50 Nathan Road, Tsim Sha Tsui, Kowloon.",金域假日酒店,九龍尖沙咀彌敦道50號,2369 3111,2722 1931,reserv@goldenmile.com
H/0036,KUNG-FU HOSTEL,"Flat C4 & Flat F4, Block C & F,3/F, Mirador Mansion, 58 Nathan Road,Tsim Sha Tsui, Kowloon.",功夫旅舍,九龍尖沙咀彌敦道58號美麗都大廈3字樓C座C4室&F座F4室,2311 1183,3583 2359,gardenhostel1@gmail.com
H/0038,HOI YEUNG VILLA,"1/F, Front Portion,250 Castle Peak Road,Cheung Sha Wan, Kowloon.",海洋賓館,九龍長沙灣青山道250號1字樓前座,6992 8852,,
H/0049,THE MIRA HONG KONG,"118-130 Nathan Road,Tsim Sha Tsui, Kowloon.",THE MIRA HONG KONG,九龍尖沙咀彌敦道118-130號,2368 1111,,info@themirahotel.com
H/0053,THE KOWLOON HOTEL,"19-21 Nathan Road,Tsim Sha Tsui, Kowloon.",九龍酒店,九龍尖沙咀彌敦道19-21號,2929 2888,2739 9811,enquiry.klnh@harbour-plaza.com
H/0055,NEW WORLD MILLENNIUM HONG KONG,"72 Mody Road,Tsim Sha Tsui East, Kowloon.",千禧新世界香港酒店,九龍尖沙咀東麼地道72號,2739 1111,2311 3122,info@newworldmillenniumhotel.com
H/0057,OASIS AVENUE A GDH HOTEL,"18 Prat Avenue,Tsim Sha Tsui, Kowloon.",OASIS AVENUE A GDH HOTEL,九龍尖沙咀寶勒巷18號,3410 8888,3410 8285,hongkongm@gdhhotel.com
H/0063,NUTS STUDIO,"Flat A & B, 6/F, Lucky House,22 Jordan Road, Jordan,Kowloon.",諾士旅館,九龍佐敦佐敦道22號鴻運大樓6字樓A&B室,2377 2969,,
H/0068,DRAGON INTERNATIONAL TRAVEL SERVICE CENTRE,"Flat B3, 3/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",龍滙國際遊客服務中心,九龍尖沙咀彌敦道40號重慶大廈B座3字樓B3室,2368 2007,,dragoninn1988@gmail.com
H/0073,YMCA OF HONG KONG,"41 Salisbury Road,Tsim Sha Tsui, Kowloon.",香港基督教青年會賓館,九龍尖沙咀梳士巴利道41號,2268 7000,2311 5809,dionng@ymcahk.org.hk
H/0082,PARK MOTEL,"Flat G, 6/F, Lyton Building,32-48 Mody Road,Tsim Sha Tsui, Kowloon.",PARK MOTEL,九龍尖沙咀麼地道32-48號麗東大廈6字樓G室,2722 1589,,boougero@hanmail.net
H/0087,"RENAISSANCE HARBOUR VIEW HOTEL, HK","1 Harbour Road,Wan Chai, Hong Kong.",萬麗海景酒店,香港灣仔港灣道1號,2802 8888,2802 8833,
H/0089,SUN KONG HOTEL,"1 Tung Shing Lei Road,Yuen Long, New Territories.",新港酒店,新界元朗東成里路1號,2473 6622,2476 0055,sunkonghotel@gmail.com
H/0094,MAY LAI KUNG GUEST HOUSE,"1/F, On Keung Building,91 & 93 Shung Ling Street,San Po Kong, Kowloon.",美麗宮賓館,九龍新蒲崗崇齡街91&93號安強大樓1字樓,3957 6548,,
H/0097,PARK GUEST HOUSE,"Flat A1-A2, 15/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",百樂賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A1-A2室,9468 2380,,
H/0101,ESSEX LODGE,"18-20 Essex Crescent,Kowloon Tong, Kowloon.",ESSEX LODGE,九龍九龍塘雅息士道18-20號,2338 1233,2337 3320,
H/0103,CONRAD HONG KONG,"Pacific Place II,88 Queensway,Central, Hong Kong.",港麗酒店,香港中環金鐘道88號太古廣場2期,2521 3838,2845 1711,
H/0104,EMPIRE HOTEL HONG KONG,"33 Hennessy Road,Wan Chai, Hong Kong.",港島皇悅酒店,香港灣仔軒尼詩道33號,3692 2111,,
H/0106,CLEVERYEAR HOSTEL,"Flat 2501, 25/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",活年旅舘,九龍旺角彌敦道607號新興大廈25字樓2501室,6936 7968,,ko_po@yahoo.com.hk
H/0109,WING HING HOSTEL,"Flat C, 4/F, Siu Hing Building,230-236 Temple Street, Jordan,Kowloon.",永興賓館,九龍佐敦廟街230-236號韶興大廈4字樓C室,2770 9798,,
H/0117,WELCOME GUEST HOUSE,"Flat A5, 14/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座14字樓A5室,6743 0363,,
H/0118,WELCOME GUEST HOUSE,"Flat A6 & A7, Block A,14/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座14字樓A6&A7室,6743 0363,,
H/0119,RHINE GUEST HOUSE,"Flat A1, Block A, 13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",萊茵迎賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A1室,2367 1991,,
H/0122,PEKING GUEST HOUSE,"Flat A2, Block A,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",北京賓館,九龍尖沙咀彌敦道40號重慶大廈A座12字樓A2室,2723 8320,,ngpekhotel@yahoo.com.hk
H/0125,OCEAN GUEST HOUSE,"Flat A4, Block A,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",海都賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A4室,2721 3255,2366 6706,philipcheung91@yahoo.com.hk
H/0134,NEW GUANGZHOU GUEST HOUSE,"Flat D6, Block D,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NEW GUANGZHOU GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座13字樓D6室,2366 4219,2367 6552,mp@brargrouphk.com
H/0135,NEW MING YUEN VILLA,"Flat B, 1/F, Good View Building,61-65 Tai Tong Road,Yuen Long, New Territories.",新明苑賓館,新界元朗大棠路61-65號好景樓1字樓B室,2474 1587/6097 8783,,
H/0138,CAPITAL GUEST HOUSE,"Flat A6, Block A,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",首都賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A6室,2366 3455,,
H/0139,ROYAL CAPITAL GUEST HOUSE,"Flat A7, Block A,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",首都賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A7室,2366 3455,,
H/0141,DOUBLE STAR GUEST HOUSE,"Flat A6, Block A,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DOUBLE STAR GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈A座12字樓A6室,2723 8320,2366 6706,ngpekhotel@yahoo.com.hk
H/0142,NEW INTERNATIONAL GUEST HOUSE,"Flat A6 & A7, 11/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新國際賓館,九龍尖沙咀彌敦道40號重慶大廈A座11字樓A6 & A7室,9468 2380,,
H/0144,NEW ASIA GUEST HOUSE,"Flat A6 & A7, 8/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新亞招待所,九龍尖沙咀彌敦道40號重慶大廈A座8字樓A6 & A7室,6082 0603,,
